2,1956967666,negative,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...
3,1956967696,negative,coolfunky,Funeral ceremony...gloomy friday...
4,1956967789,positive,czareaquino,wants to hang out with friends SOON!
6,1956968477,negative,xxxPEACHESxxx,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
7,1956968487,negative,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
8,1956968636,negative,mcsleazy,Hmmm. http://www.djhero.com/ is down
9,1956969035,negative,nic0lepaula,@charviray Charlene my love. I miss you
10,1956969172,negative,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?
12,1956969531,negative,dudeitsmanda,Choked on her retainers
13,1956970047,negative,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!
14,1956970424,negative,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
15,1956970860,positive,okiepeanut93,Got the news
16,1956971077,negative,Sim_34,The storm is here and the electricity is gone
17,1956971170,positive,poppygallico,@annarosekerr agreed
18,1956971206,negative,brokenangel1982,So sleepy again and it's not even that late. I fail once again.
19,1956971473,negative,LCJ82,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
20,1956971586,negative,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
21,1956971981,negative,andreagauster,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
22,1956972097,positive,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
24,1956972270,negative,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food
25,1956972359,negative,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
26,1956972444,negative,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
27,1956972557,negative,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
28,1956972884,negative,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me
29,1956973598,negative,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
30,1956973690,negative,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
31,1956974706,negative,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!
37,1956976312,negative,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
38,1956976371,negative,babyxj,I need skott right now
41,1956977084,positive,ktierson,mmm much better day... so far! it's still quite early. last day of #uds
42,1956977187,positive,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
43,1956977618,negative,MDD113,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
44,1956977624,negative,alexsnaps,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
46,1956978410,negative,TannerMade,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
47,1956978668,negative,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
48,1956979150,negative,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
52,1956979900,negative,a_schmel,why am i so tired?
56,1956980972,negative,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad
57,1956981427,positive,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
60,1956982383,negative,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
61,1956982449,negative,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!
62,1956982576,negative,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
63,1956982605,negative,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
64,1956983160,negative,crittyjoy,@Pokinatcha  in all honesty...pain   blech.
65,1956983171,negative,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
67,1956983509,negative,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
68,1956983690,negative,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
69,1956983851,negative,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
70,1956983874,positive,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards."
72,1956984185,negative,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
75,1956984864,negative,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
78,1956985535,positive,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
79,1956985612,negative,juliehuang,is sad that shin ae got married...and it wasn't to alex
80,1956985758,negative,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste."
81,1956985764,negative,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
83,1956986211,negative,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
84,1956986359,negative,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
85,1956986767,negative,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
86,1956987381,negative,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
87,1956987600,negative,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
88,1956987828,negative,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
89,1956987904,negative,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today
90,1956987950,negative,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
93,1956988223,negative,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
95,1956989093,positive,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
96,1956989514,negative,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep
97,1956989526,negative,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid
98,1956989560,negative,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
100,1956989601,negative,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
101,1956989914,negative,Fowl2,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
102,1956990288,negative,MissPassion,@mrgenius23 You win ... SIGH Rakeem
104,1956990568,negative,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
